ds,y
2014-09-01,181016642442040.0000
2014-10-01,185730161812296.0000
2014-11-01,164680881141785.0000
2014-12-01,179563380038070.0000
2015-01-01,166608566684108.0000
2015-02-01,155201288854792.0000
2015-03-01,178153572229101.0000
2015-04-01,169675174314959.0000
2015-05-01,167602979807453.0000
2015-06-01,179916481699578.0000
2015-07-01,153352396529750.0000
2015-08-01,175387067412097.0000
2015-09-01,181223280340853.0000
2015-10-01,167229835887632.0000
2015-11-01,152068819522344.0000
2015-12-01,165106825207657.0000
2016-01-01,146972313720174.0000
2016-02-01,152953584278267.0000
2016-03-01,155839051515101.0000
2016-04-01,154069213751761.0000
2016-05-01,154559599377726.0000
2016-06-01,176368429832713.0000
2016-07-01,126590139813177.0000
2016-08-01,167905374190965.0000
2016-09-01,165024182919560.0000
2016-10-01,165888257302780.0000
2016-11-01,179730621757922.0000
2016-12-01,185597977208537.0000
2017-01-01,178975733688914.0000
2017-02-01,168307801445283.0000
2017-03-01,196425443971858.0000
2017-04-01,176571650506704.0000
2017-05-01,190975027289085.0000
2017-06-01,155075898458633.0000
2017-07-01,181600092179250.0000
2017-08-01,202635414401451.0000
2017-09-01,193967521294704.0000
2017-10-01,206306174252676.0000
2017-11-01,207438544797981.0000
2017-12-01,201506929785139.0000
2018-01-01,195035926918459.0000
2018-02-01,192059787987159.0000
2018-03-01,213399541499240.0000
2018-04-01,200090910409051.0000
2018-05-01,227743800898000.0000
2018-06-01,181652111496976.0000
2018-07-01,234736096440000.0000
2018-08-01,230993880708957.0000
2018-09-01,222382032236934.0000
2018-10-01,241481698510000.0000
2018-11-01,218273607123281.0000
2018-12-01,207162682642563.0000
2019-01-01,198681751540352.0000
2019-02-01,179490131975537.0000
2019-03-01,205317543690000.0000
2019-04-01,184816211699126.0000
2019-05-01,212321142829993.0000
2019-06-01,167351690847456.0000
2019-07-01,214007045346997.0000
2019-08-01,203119482526082.0000
2019-09-01,198685773199676.0000
2019-10-01,210089982118821.0000
2019-11-01,196181075570971.0000
2019-12-01,202255295373845.0000
